id,Case Number,Date,Year,Type,Country,Area,Location,Fatal,original_order,Latitude,Longitude
2608,1989.07.14,14--Jul--89,1989,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",N,3627,28.32,-80.6076
2609,1989.07.07,07--Jul--89,1989,Unprovoked,USA,Texas,"Sargent Beach, Matagorda County",N,3626,28.8353,-95.6647
2610,1989.06.29,29--Jun--89,1989,Unprovoked,USA,Hawaii,"Anahola, Kaua'i",N,3625,22.1453,-159.316
2611,1989.06.17,17--Jun--89,1989,Unprovoked,USA,Louisiana,40 miles off Cocodrie,N,3624,29.2469,-90.6615
2612,1989.04.23,23--Apr--89,1989,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",N,3619,26.8856,-80.0546
2613,1989.04.12,12--Apr--89,1989,Unprovoked,USA,Washington,"Pacific Beach, Grays Harbor County",N,3618,47.2077,-124.202
2614,1989.04.09,09--Apr--89,1989,Boat,USA,California,"Monterey Bay, Monterey County",N,3617,36.8007,-121.947
2615,1989.04.03,03--Apr--89,1989,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",N,3616,20.9353,-156.356
2616,1989.04.00,Apr--89,1989,Unprovoked,USA,Hawaii,"Kekaha Beach, Kaua'i",N,3615,21.9684,-159.72
2617,1989.01.26.b,26--Jan--89,1989,Invalid,USA,California,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",NULL,3609,35.214402,-117.779832
2618,1989.01.26.a,26--Jan--89,1989,Unprovoked,USA,California,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",Y,3608,34.0209,-118.786
2619,1989.01.20.b,20--Jan--89,1989,Unprovoked,USA,Hawaii,"Waialua Beach, Moloka'i",N,3607,21.5767,-158.13
2620,1989.01.08,08--Jan--89,1989,Unprovoked,USA,Hawaii,"Wailua, Kaua'i",Y,3605,22.0461,-159.359
